Id,StartDate,DurationInHours,Location,Link,ImageUrl,Name
-14,2024-04-16,4,Reykjavik ,https://guidetoiceland.is/book-holiday-trips/whale-watching-1,https://guidetoiceland.imgix.net/151615/x/0/the-whales-often-appear-extremely-close-to-the-whale-watching-vessels-3?auto=format%2Ccompress&crop=faces%2Cedges%2Ccenter&bg=%23fff&fit=crop&q=35&h=1135&dpr=1,The Reykjavik Whale Watching Tour
-15,2024-05-24,6,Hawaii,https://www.tripadvisor.com/Attraction_Review-g815379-d519580-Reviews-PacWhale_Eco_Adventures-Maalaea_Maui_Hawaii.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/15/ae/dd/caption.jpg?w=800&h=-1&s=1&cx=1229&cy=891&chk=v1_0f446e5c301249ba6e5f,Whale Watching from Ma'alaea Harbor
-16,2024-06-12,4,Iceland,https://guidetoiceland.is/book-holiday-trips/gg1-whale-watching,https://guidetoiceland.imgix.net/283036/x/0/this-tour-lets-you-get-up-close-and-personal-with-the-whales-4?auto=format%2Ccompress&crop=faces%2Cedges%2Ccenter&bg=%23fff&fit=crop&q=35&h=1135&dpr=1,The Husavik Whale Watching Tour
-17,2024-07-10,4,Hervey Bay,https://www.google.com/search?q=hervey+bay+whale+watching,https://www.quarkexpeditions.com/sites/default/files/blog-images/SamEdmonds---Humpbacks_2.jpg,Whale Spectacle
-18,2024-08-15,6,Domonica,https://www.google.com/search?q=Dominica+Whale+Spotting,https://cdn.discoverdominica.com/1330x886/Spermwhales_Dominica_PeterG.AllinsonMD-1.jpg,Majestic Whale Extravaganza Spotting
-19,2024-09-15,6,Azores,https://www.google.com/search?q=Azores+Whale+Spotting,https://images.squarespace-cdn.com/content/v1/59c2a5bed7bdcea23320af07/1550845018033-BXB3I45NQNN1WUET8F00/Whale+Watching+S%C3%A3o+Miguel+-+Azores+Connections.jpg,Whale Spotting Hilarity
-20,2024-10-12,4,Canada,https://www.google.com/search?q=Canada+Whale+Spotting,https://adventures.com/media/4756/meta-blue-whale-canada-lawrence-river-quebec.jpg,Blinking Whale Spotting Tour
-21,2024-11-22,12,Sri Lanka,https://www.wildlifeworldwide.com/group-tours/blue-whales-dolphins,https://mirissacabs.com/wp-content/uploads/2021/11/whale-watching.jpg,Blue Whales Wildlife #3
-22,2024-12-26,5,"Rye, New Hampshire",https://www.google.com/search?q=Rye%2C+New+Hampshire+Whale+Spotting,"https://res.klook.com/image/upload/c_fill,w_1265,h_712/q_80/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/ep29e5zs0fadacjhqabp.webp",Whale Spectacular
-23,2025-01-05,7,Mexico,https://www.google.com/search?q=Mexico+Whale+Spotting,https://cdn.pixabay.com/photo/2016/02/05/16/23/whale-1181395_1280.jpg,Whale Spectacle
-24,2025-02-24,4,Western Scotland,https://www.google.com/search?q=Western+Scotland+Whale+Spotting,https://i.guim.co.uk/img/media/9f70d295e2043c9ef81453ed8594340142818c2b/0_919_4912_2945/master/4912.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=6ee0af295ed64280ee15f2fd07bb35ad,Whale-tastic Expedition
-25,2025-03-07,8,South Africa,https://www.google.com/search?q=South+Africa+Whale+Spotting,https://files.worldwildlife.org/wwfcmsprod/images/Humpback_Whale_and_Calf_WW2131047/hero_full/3f7xjaj9qn_Humpback_Whale_and_Calf_WW2131047.jpg,Whale Spot Party
-26,2025-03-08,4,The Antarctic Peninsula,https://www.google.com/search?q=The+Antarctic+Peninsula+Whale+Spotting,https://i0.wp.com/handluggageonly.co.uk/wp-content/uploads/2017/05/icebergs-337609_1920.jpg?resize=1024%2C768&ssl=1,Whalecoming Spotting
